Date,RegionName,AreaCode,Price,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume,Year,Month
2013-01-01,East Midlands,E12000004,132438,56.3,56.8,-1.0,0.9,133604.0,3447.0,198503.0,56.4,-1.2,0.6,123157.0,55.6,-0.5,1.0,100115.0,55.9,-1.4,1.2,77256.0,60.6,-1.5,0.3,133375.0,56.6,-1.2,0.6,1218.0,132015.0,56.1,-1.0,1.0,2229.0,112402.0,56.2,-1.1,0.9,156873.0,56.4,-1.0,0.8,177695.0,54.0,-4.0,0.0,217.0,129851.0,56.1,-0.7,0.9,3230.0,2013,1
2013-01-02,East Midlands,E12000004,132498,56.3,56.8,0.0,1.1,133615.0,3522.0,198520.0,56.4,0.0,1.0,122861.0,55.4,-0.2,1.3,100592.0,56.2,0.5,1.4,77233.0,60.6,0.0,-0.4,133709.0,56.8,0.3,1.0,1202.0,131937.0,56.1,-0.1,1.0,2320.0,112689.0,56.3,0.3,1.2,156735.0,56.3,-0.1,0.9,179415.0,54.5,1.0,0.5,307.0,129789.0,56.1,0.0,1.2,3215.0,2013,1
2013-01-03,East Midlands,E12000004,133425,56.7,57.1,0.7,1.1,134284.0,4585.0,200625.0,57.0,1.1,2.3,123341.0,55.6,0.4,0.5,101057.0,56.5,0.5,0.6,78205.0,61.3,1.3,-0.4,134718.0,57.2,0.8,1.0,1560.0,132823.0,56.5,0.7,1.2,3025.0,113315.0,56.6,0.6,0.6,157975.0,56.8,0.8,1.5,184001.0,55.9,2.6,1.9,572.0,130454.0,56.4,0.5,1.1,4013.0,2013,1
2013-01-04,East Midlands,E12000004,134150,57.0,57.2,0.5,0.6,134669.0,4258.0,201317.0,57.2,0.3,0.2,124405.0,56.1,0.9,0.8,101562.0,56.8,0.5,1.3,78338.0,61.4,0.2,-0.7,135442.0,57.5,0.5,0.6,1493.0,133548.0,56.8,0.5,0.6,2765.0,113930.0,56.9,0.5,0.8,158834.0,57.1,0.5,0.5,183383.0,55.7,-0.3,1.1,390.0,131279.0,56.7,0.6,0.6,3868.0,2013,1
2013-01-05,East Midlands,E12000004,135785,57.7,57.5,1.2,2.0,135394.0,5780.0,203311.0,57.8,1.0,1.7,125957.0,56.8,1.2,2.1,102984.0,57.5,1.4,2.4,79711.0,62.5,1.8,1.2,137094.0,58.2,1.2,1.8,1874.0,135175.0,57.5,1.2,2.1,3906.0,115423.0,57.7,1.3,2.1,160676.0,57.8,1.2,1.9,185696.0,56.4,1.3,2.4,501.0,132874.0,57.4,1.2,2.0,5279.0,2013,1
2013-01-06,East Midlands,E12000004,136126,57.8,57.5,0.3,1.4,135227.0,5591.0,202464.0,57.6,-0.4,1.4,126422.0,57.0,0.4,1.6,104039.0,58.1,1.0,1.3,80056.0,62.8,0.4,0.7,136955.0,58.1,-0.1,1.1,1825.0,135760.0,57.7,0.4,1.5,3766.0,116003.0,58.0,0.5,1.4,160824.0,57.8,0.1,1.3,184218.0,56.0,-0.8,2.1,880.0,133350.0,57.6,0.4,1.3,4711.0,2013,1
2013-01-07,East Midlands,E12000004,137251,58.3,57.5,0.8,1.1,135243.0,5910.0,205584.0,58.4,1.5,0.8,127195.0,57.4,0.6,1.1,104355.0,58.3,0.3,1.6,79853.0,62.6,-0.3,0.1,138433.0,58.8,1.1,1.0,2074.0,136705.0,58.1,0.7,1.1,3836.0,116457.0,58.2,0.4,1.1,162600.0,58.4,1.1,1.1,185689.0,56.4,0.8,3.9,351.0,134455.0,58.1,0.8,0.8,5559.0,2013,1
2013-01-08,East Midlands,E12000004,138691,58.9,57.8,1.0,3.0,136079.0,6566.0,207666.0,59.0,1.0,2.9,128856.0,58.1,1.3,3.3,105220.0,58.8,0.8,2.9,80492.0,63.1,0.8,2.9,139960.0,59.4,1.1,2.7,2178.0,138101.0,58.7,1.0,3.2,4388.0,117830.0,58.9,1.2,3.0,164171.0,59.0,1.0,3.0,186570.0,56.7,0.5,4.3,555.0,135945.0,58.7,1.1,2.9,6011.0,2013,1
2013-01-09,East Midlands,E12000004,138231,58.7,58.2,-0.3,3.1,136932.0,5592.0,208031.0,59.1,0.2,3.5,127540.0,57.5,-1.0,2.9,104934.0,58.6,-0.3,2.9,80597.0,63.2,0.1,2.4,139580.0,59.3,-0.3,3.2,1943.0,137602.0,58.5,-0.4,3.0,3649.0,117327.0,58.6,-0.4,2.9,163727.0,58.9,-0.3,3.2,189150.0,57.5,1.4,5.0,568.0,135260.0,58.4,-0.5,2.9,5024.0,2013,1
2013-01-10,East Midlands,E12000004,139089,59.1,58.6,0.6,3.6,138010.0,6226.0,210112.0,59.7,1.0,4.6,128786.0,58.1,1.0,3.4,104725.0,58.5,-0.2,2.9,80442.0,63.1,-0.2,1.4,140254.0,59.5,0.5,3.6,2219.0,138553.0,58.9,0.7,3.6,4007.0,117792.0,58.9,0.4,3.3,164978.0,59.3,0.8,3.8,190501.0,57.9,0.7,4.0,520.0,136086.0,58.8,0.6,3.6,5706.0,2013,1
2013-01-11,East Midlands,E12000004,138201,58.7,58.4,-0.6,2.9,137489.0,7336.0,207224.0,58.9,-1.4,2.8,128539.0,58.0,-0.2,3.2,104539.0,58.4,-0.2,2.8,80058.0,62.8,-0.5,2.1,139368.0,59.2,-0.6,2.9,2438.0,137664.0,58.5,-0.6,2.9,4898.0,117409.0,58.7,-0.3,2.9,163596.0,58.8,-0.8,2.9,190330.0,57.8,-0.1,2.9,701.0,135142.0,58.4,-0.7,2.9,6635.0,2013,1
2013-01-12,East Midlands,E12000004,140532,59.7,59.5,1.7,5.0,140005.0,7029.0,209412.0,59.5,1.1,4.2,130973.0,59.1,1.9,5.8,106698.0,59.6,2.1,5.1,82433.0,64.6,3.0,5.1,141571.0,60.1,1.6,4.9,2257.0,140060.0,59.5,1.7,5.1,4772.0,119720.0,59.8,2.0,5.3,166062.0,59.7,1.5,4.8,194707.0,59.2,2.3,5.2,974.0,137337.0,59.3,1.6,5.0,6055.0,2013,1
2014-01-01,East Midlands,E12000004,139876,59.4,59.9,-0.5,5.6,140902.0,5578.0,210281.0,59.8,0.4,5.9,129575.0,58.5,-1.1,5.2,105798.0,59.1,-0.8,5.7,81592.0,64.0,-1.0,5.6,141040.0,59.9,-0.4,5.7,1890.0,139340.0,59.2,-0.5,5.5,3688.0,118830.0,59.4,-0.7,5.7,165580.0,59.5,-0.3,5.6,191984.0,58.3,-1.4,8.0,348.0,136827.0,59.1,-0.4,5.4,5230.0,2014,1
2014-01-02,East Midlands,E12000004,141302,60.0,60.5,1.0,6.6,142454.0,5651.0,212060.0,60.3,0.8,6.8,131227.0,59.2,1.3,6.8,106993.0,59.8,1.1,6.4,81817.0,64.2,0.3,5.9,142594.0,60.5,1.1,6.6,1846.0,140704.0,59.8,1.0,6.6,3805.0,120312.0,60.1,1.2,6.8,167031.0,60.0,0.9,6.6,195515.0,59.4,1.8,9.0,476.0,138097.0,59.7,0.9,6.4,5175.0,2014,1
2014-01-03,East Midlands,E12000004,141019,59.9,60.6,-0.2,5.7,142710.0,5780.0,210408.0,59.8,-0.8,4.9,131436.0,59.3,0.2,6.6,106984.0,59.8,0.0,5.9,82233.0,64.5,0.5,5.2,142198.0,60.4,-0.3,5.6,1895.0,140477.0,59.7,-0.2,5.8,3885.0,120313.0,60.1,0.0,6.2,166486.0,59.8,-0.3,5.4,195450.0,59.4,0.0,6.2,715.0,137795.0,59.5,-0.2,5.6,5065.0,2014,1
2014-01-04,East Midlands,E12000004,143784,61.1,61.0,2.0,7.2,143628.0,6261.0,215174.0,61.2,2.3,6.9,133621.0,60.3,1.7,7.4,109175.0,61.0,2.0,7.5,83330.0,65.3,1.3,6.4,144860.0,61.5,1.9,7.0,2056.0,143293.0,60.9,2.0,7.3,4205.0,122453.0,61.2,1.8,7.5,169940.0,61.1,2.1,7.0,198536.0,60.3,1.6,8.3,590.0,140555.0,60.7,2.0,7.1,5671.0,2014,1
2014-01-05,East Midlands,E12000004,144447,61.4,61.2,0.5,6.4,144023.0,7009.0,215520.0,61.3,0.2,6.0,134348.0,60.6,0.5,6.7,109882.0,61.4,0.6,6.7,84139.0,66.0,1.0,5.6,145649.0,61.8,0.5,6.2,2310.0,143895.0,61.2,0.4,6.5,4699.0,123156.0,61.5,0.6,6.7,170604.0,61.3,0.4,6.2,201810.0,61.3,1.6,8.7,745.0,141019.0,60.9,0.3,6.1,6264.0,2014,1
2014-01-06,East Midlands,E12000004,145839,62.0,61.6,1.0,7.1,144845.0,7108.0,216771.0,61.6,0.6,7.1,136036.0,61.4,1.3,7.6,111252.0,62.2,1.2,6.9,84552.0,66.3,0.5,5.6,146852.0,62.3,0.8,7.2,2341.0,145380.0,61.8,1.0,7.1,4767.0,124640.0,62.3,1.2,7.4,171990.0,61.8,0.8,6.9,200664.0,61.0,-0.6,8.9,1120.0,142621.0,61.6,1.1,7.0,5988.0,2014,1
2014-01-07,East Midlands,E12000004,146999,62.5,61.7,0.8,7.1,145112.0,7401.0,219869.0,62.5,1.4,6.9,136490.0,61.6,0.3,7.3,111885.0,62.5,0.6,7.2,84945.0,66.6,0.5,6.4,148092.0,62.9,0.8,7.0,2489.0,146501.0,62.3,0.8,7.2,4912.0,125123.0,62.5,0.4,7.4,173801.0,62.5,1.1,6.9,200542.0,60.9,-0.1,8.0,545.0,143892.0,62.2,0.9,7.0,6856.0,2014,1
2014-01-08,East Midlands,E12000004,149286,63.4,62.2,1.6,7.6,146473.0,7929.0,223502.0,63.5,1.7,7.6,138780.0,62.6,1.7,7.7,113409.0,63.4,1.4,7.8,85995.0,67.4,1.2,6.8,150381.0,63.8,1.5,7.4,2601.0,148787.0,63.3,1.6,7.7,5328.0,127092.0,63.5,1.6,7.9,176485.0,63.4,1.5,7.5,201850.0,61.3,0.7,8.2,687.0,146276.0,63.2,1.7,7.6,7242.0,2014,1
2014-01-09,East Midlands,E12000004,149507,63.5,62.9,0.1,8.2,148074.0,6712.0,223357.0,63.5,-0.1,7.4,138767.0,62.6,0.0,8.8,113895.0,63.6,0.4,8.5,86809.0,68.1,0.9,7.7,150883.0,64.1,0.3,8.1,2235.0,148870.0,63.3,0.1,8.2,4476.0,127412.0,63.7,0.3,8.6,176631.0,63.5,0.1,7.9,201769.0,61.3,0.0,6.7,676.0,146524.0,63.3,0.2,8.3,6036.0,2014,1
2014-01-10,East Midlands,E12000004,148455,63.1,62.6,-0.7,6.7,147207.0,7725.0,222319.0,63.2,-0.5,5.8,138007.0,62.3,-0.5,7.2,112507.0,62.9,-1.2,7.4,86259.0,67.6,-0.6,7.2,149500.0,63.5,-0.9,6.6,2575.0,147980.0,62.9,-0.6,6.8,5149.0,126343.0,63.1,-0.8,7.3,175538.0,63.1,-0.6,6.4,202564.0,61.5,0.4,6.3,661.0,145314.0,62.8,-0.8,6.8,7064.0,2014,1
2014-01-11,East Midlands,E12000004,148299,63.0,62.7,-0.1,7.3,147496.0,6398.0,222828.0,63.3,0.2,7.5,137937.0,62.2,-0.1,7.3,112032.0,62.6,-0.4,7.2,85489.0,67.0,-0.9,6.8,149500.0,63.5,0.0,7.3,2240.0,147748.0,62.8,-0.2,7.3,4157.0,126159.0,63.0,-0.1,7.5,175400.0,63.0,-0.1,7.2,201161.0,61.1,-0.7,5.7,659.0,145258.0,62.8,0.0,7.5,5739.0,2014,1
2014-01-12,East Midlands,E12000004,148199,63.0,62.7,-0.1,5.5,147646.0,6970.0,221930.0,63.1,-0.4,6.0,137836.0,62.2,-0.1,5.2,112175.0,62.7,0.1,5.1,86372.0,67.7,1.0,4.8,149338.0,63.4,-0.1,5.5,2309.0,147679.0,62.8,0.0,5.4,4660.0,126318.0,63.1,0.1,5.5,175067.0,62.9,-0.2,5.4,204603.0,62.2,1.7,5.1,1033.0,144874.0,62.6,-0.3,5.5,5937.0,2014,1
2015-01-01,East Midlands,E12000004,147972,62.9,63.3,-0.2,5.8,148887.0,4865.0,221982.0,63.1,0.0,5.6,137570.0,62.1,-0.2,6.2,111814.0,62.5,-0.3,5.7,86173.0,67.6,-0.2,5.6,149037.0,63.3,-0.2,5.7,1665.0,147489.0,62.7,-0.1,5.8,3200.0,125782.0,62.9,-0.4,5.9,175100.0,62.9,0.0,5.7,204917.0,62.3,0.2,6.7,400.0,144603.0,62.5,-0.2,5.7,4465.0,2015,1
2015-01-02,East Midlands,E12000004,148493,63.1,63.6,0.4,5.1,149648.0,5071.0,222178.0,63.2,0.1,4.8,137720.0,62.1,0.1,4.9,112620.0,62.9,0.7,5.3,87461.0,68.6,1.5,6.9,149508.0,63.5,0.3,4.8,1734.0,148034.0,62.9,0.4,5.2,3336.0,126338.0,63.1,0.4,5.0,175605.0,63.1,0.3,5.1,207150.0,62.9,1.1,6.0,441.0,145019.0,62.7,0.3,5.0,4630.0,2015,1
2015-01-03,East Midlands,E12000004,148992,63.3,63.9,0.3,5.7,150293.0,5751.0,224315.0,63.8,1.0,6.6,138463.0,62.5,0.5,5.3,112049.0,62.6,-0.5,4.7,87013.0,68.2,-0.5,5.8,149999.0,63.7,0.3,5.5,1900.0,148536.0,63.1,0.3,5.7,3850.0,126545.0,63.2,0.2,5.2,176409.0,63.4,0.5,6.0,208340.0,63.3,0.6,6.6,758.0,145476.0,62.9,0.3,5.6,4993.0,2015,1
2015-01-04,East Midlands,E12000004,149909,63.7,63.9,0.6,4.3,150316.0,5438.0,224939.0,63.9,0.3,4.5,139387.0,62.9,0.7,4.3,113424.0,63.4,1.2,3.9,86603.0,67.9,-0.5,3.9,150801.0,64.0,0.5,4.1,1839.0,149508.0,63.6,0.7,4.3,3597.0,127557.0,63.7,0.8,4.2,177264.0,63.7,0.5,4.3,207616.0,63.1,-0.3,4.6,630.0,146494.0,63.3,0.7,4.2,4808.0,2015,1
2015-01-05,East Midlands,E12000004,151863,64.5,64.3,1.3,5.1,151408.0,6611.0,227759.0,64.7,1.3,5.7,141433.0,63.8,1.5,5.3,114627.0,64.1,1.1,4.3,88218.0,69.2,1.9,4.8,152867.0,64.9,1.4,5.0,2119.0,151409.0,64.4,1.3,5.2,4490.0,129136.0,64.5,1.2,4.9,179657.0,64.6,1.4,5.3,209156.0,63.6,0.7,3.6,829.0,148475.0,64.2,1.4,5.3,5782.0,2015,1
2015-01-06,East Midlands,E12000004,153067,65.0,64.6,0.8,5.0,152007.0,7535.0,229276.0,65.2,0.7,5.8,142596.0,64.3,0.8,4.8,116034.0,64.8,1.2,4.3,87692.0,68.8,-0.6,3.7,154233.0,65.5,0.9,5.0,2272.0,152536.0,64.8,0.7,4.9,5253.0,130238.0,65.1,0.9,4.5,181005.0,65.1,0.8,5.2,206775.0,62.8,-1.1,3.0,1316.0,149906.0,64.8,1.0,5.1,6219.0,2015,1
2015-01-07,East Midlands,E12000004,155205,66.0,65.2,1.4,5.6,153351.0,7835.0,232602.0,66.1,1.5,5.8,144557.0,65.2,1.4,5.9,117378.0,65.6,1.2,4.9,89698.0,70.3,2.3,5.6,156250.0,66.3,1.3,5.5,2518.0,154731.0,65.8,1.4,5.6,5313.0,131988.0,66.0,1.3,5.5,183600.0,66.0,1.4,5.6,211717.0,64.3,2.4,5.6,626.0,151870.0,65.6,1.3,5.5,7209.0,2015,1
2015-01-08,East Midlands,E12000004,157157,66.8,65.5,1.3,5.3,154194.0,7429.0,236206.0,67.1,1.5,5.7,146163.0,65.9,1.1,5.3,118709.0,66.3,1.1,4.7,90489.0,71.0,0.9,5.2,158409.0,67.3,1.4,5.3,2381.0,156585.0,66.6,1.2,5.2,5043.0,133512.0,66.7,1.2,5.1,186046.0,66.9,1.3,5.4,212863.0,64.7,0.5,5.5,703.0,153876.0,66.5,1.3,5.2,6726.0,2015,1
2015-01-09,East Midlands,E12000004,156162,66.4,65.7,-0.6,4.5,154647.0,7073.0,235563.0,67.0,-0.3,5.5,144725.0,65.3,-1.0,4.3,117843.0,65.9,-0.7,3.5,90046.0,70.6,-0.5,3.7,157397.0,66.8,-0.6,4.3,2287.0,155598.0,66.1,-0.6,4.5,4775.0,132577.0,66.3,-0.7,4.1,184956.0,66.5,-0.6,4.7,211844.0,64.4,-0.5,5.0,815.0,152881.0,66.1,-0.6,4.3,6258.0,2015,1
2015-01-10,East Midlands,E12000004,157700,67.0,66.4,1.0,6.2,156355.0,8037.0,237334.0,67.5,0.8,6.8,146662.0,66.2,1.3,6.3,118998.0,66.5,1.0,5.8,90533.0,71.0,0.5,5.0,158875.0,67.4,0.9,6.3,2452.0,157164.0,66.8,1.0,6.2,5571.0,133983.0,67.0,1.1,6.0,186677.0,67.1,0.9,6.3,215539.0,65.5,1.7,6.4,781.0,154285.0,66.7,0.9,6.2,7256.0,2015,1
2015-01-11,East Midlands,E12000004,158364,67.3,66.9,0.4,6.8,157498.0,7281.0,238696.0,67.9,0.6,7.1,147427.0,66.5,0.5,6.9,119183.0,66.6,0.2,6.4,90732.0,71.1,0.2,6.1,159398.0,67.7,0.3,6.6,2334.0,157897.0,67.1,0.5,6.9,4928.0,134394.0,67.2,0.3,6.5,187614.0,67.4,0.5,7.0,216429.0,65.8,0.4,7.6,707.0,154936.0,67.0,0.4,6.7,6574.0,2015,1
